Country Name,Country Code,Indicator Name,Indicator Code,Year,gdp
"Macedonia, FYR",MKD,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Mali,MLI,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Malta,MLT,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Myanmar,MMR,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Middle East & North Africa (excluding high income),MNA,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Montenegro,MNE,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Mongolia,MNG,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Northern Mariana Islands,MNP,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Mozambique,MOZ,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Mauritania,MRT,GDP (current US$),NY.GDP.MKTP.CD,1960,92609222.6913744
Mauritius,MUS,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Malawi,MWI,GDP (current US$),NY.GDP.MKTP.CD,1960,162956740.865183
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,1960,1916241996.60264
North America,NAC,GDP (current US$),NY.GDP.MKTP.CD,1960,584477920198.99
Namibia,NAM,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
New Caledonia,NCL,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Niger,NER,GDP (current US$),NY.GDP.MKTP.CD,1960,449526872.565561
Nigeria,NGA,GDP (current US$),NY.GDP.MKTP.CD,1960,4196092258.15484
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Netherlands,NLD,GDP (current US$),NY.GDP.MKTP.CD,1960,12276734172.0828
Norway,NOR,GDP (current US$),NY.GDP.MKTP.CD,1960,5163271598.15702
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,1960,508334413.965087
Nauru,NRU,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
New Zealand,NZL,GDP (current US$),NY.GDP.MKTP.CD,1960,5485854791.97096
OECD members,OED,GDP (current US$),NY.GDP.MKTP.CD,1960,1072374260795.94
Oman,OMN,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Other small states,OSS,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Pakistan,PAK,GDP (current US$),NY.GDP.MKTP.CD,1960,3707055900.88198
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,1960,537147100.0
Peru,PER,GDP (current US$),NY.GDP.MKTP.CD,1960,2571908062.07692
Philippines,PHL,GDP (current US$),NY.GDP.MKTP.CD,1960,6684568805.06881
Palau,PLW,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Papua New Guinea,PNG,GDP (current US$),NY.GDP.MKTP.CD,1960,230496032.981216
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Pre-demographic dividend,PRE,GDP (current US$),NY.GDP.MKTP.CD,1960,8428017766.52866
Puerto Rico,PRI,GDP (current US$),NY.GDP.MKTP.CD,1960,1691900000.0
"Korea, Dem. People’s Rep.",PRK,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Portugal,PRT,GDP (current US$),NY.GDP.MKTP.CD,1960,3193200404.37297
Paraguay,PRY,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
West Bank and Gaza,PSE,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Pacific island small states,PSS,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Post-demographic dividend,PST,GDP (current US$),NY.GDP.MKTP.CD,1960,1042816199059.17
French Polynesia,PYF,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Qatar,QAT,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Romania,ROU,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Russian Federation,RUS,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Rwanda,RWA,GDP (current US$),NY.GDP.MKTP.CD,1960,119000024.0
South Asia,SAS,GDP (current US$),NY.GDP.MKTP.CD,1960,46535881332.4734
Saudi Arabia,SAU,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Sudan,SDN,GDP (current US$),NY.GDP.MKTP.CD,1960,1307333333.33333
Senegal,SEN,GDP (current US$),NY.GDP.MKTP.CD,1960,792824707.345294
Singapore,SGP,GDP (current US$),NY.GDP.MKTP.CD,1960,704462302.365086
Solomon Islands,SLB,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Sierra Leone,SLE,GDP (current US$),NY.GDP.MKTP.CD,1960,322009471.56704
El Salvador,SLV,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
San Marino,SMR,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Somalia,SOM,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Serbia,SRB,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Sub-Saharan Africa (excluding high income),SSA,GDP (current US$),NY.GDP.MKTP.CD,1960,26415627033.0659
South Sudan,SSD,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Sub-Saharan Africa,SSF,GDP (current US$),NY.GDP.MKTP.CD,1960,26427001496.2575
Small states,SST,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Sao Tome and Principe,STP,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Suriname,SUR,GDP (current US$),NY.GDP.MKTP.CD,1960,93850000.0
Slovak Republic,SVK,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Slovenia,SVN,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Sweden,SWE,GDP (current US$),NY.GDP.MKTP.CD,1960,14842870293.4207
Swaziland,SWZ,GDP (current US$),NY.GDP.MKTP.CD,1960,35076158.4768305
Sint Maarten (Dutch part),SXM,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Seychelles,SYC,GDP (current US$),NY.GDP.MKTP.CD,1960,12012025.2477155
Syrian Arab Republic,SYR,GDP (current US$),NY.GDP.MKTP.CD,1960,857704431.686497
Turks and Caicos Islands,TCA,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,1960,313582727.638056
East Asia & Pacific (IDA & IBRD countries),TEA,GDP (current US$),NY.GDP.MKTP.CD,1960,80089039820.4153
Europe & Central Asia (IDA & IBRD countries),TEC,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,1960,121128073.114022
Thailand,THA,GDP (current US$),NY.GDP.MKTP.CD,1960,2760747471.88624
Tajikistan,TJK,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Turkmenistan,TKM,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Timor-Leste,TLS,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Middle East & North Africa (IDA & IBRD countries),TMN,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Tonga,TON,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
South Asia (IDA & IBRD),TSA,GDP (current US$),NY.GDP.MKTP.CD,1960,46535881332.4735
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP (current US$),NY.GDP.MKTP.CD,1960,26427001496.2575
Trinidad and Tobago,TTO,GDP (current US$),NY.GDP.MKTP.CD,1960,535670127.748935
Tunisia,TUN,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Turkey,TUR,GDP (current US$),NY.GDP.MKTP.CD,1960,13995067817.5092
Tuvalu,TUV,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Tanzania,TZA,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Uganda,UGA,GDP (current US$),NY.GDP.MKTP.CD,1960,423008385.744235
Ukraine,UKR,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Upper middle income,UMC,GDP (current US$),NY.GDP.MKTP.CD,1960,197068880311.139
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,1960,1242289239.20493
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1960,543300000000.0
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1960,13066557.7786852
"Venezuela, RB",VEN,GDP (current US$),NY.GDP.MKTP.CD,1960,8736939393.93939
British Virgin Islands,VGB,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Virgin Islands (U.S.),VIR,GDP (current US$),NY.GDP.MKTP.CD,1960,24200000.0
Vietnam,VNM,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Vanuatu,VUT,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
World,WLD,GDP (current US$),NY.GDP.MKTP.CD,1960,1353783420391.4
Samoa,WSM,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
Kosovo,XKX,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
"Yemen, Rep.",YEM,GDP (current US$),NY.GDP.MKTP.CD,1960,70812513000.22388
South Africa,ZAF,GDP (current US$),NY.GDP.MKTP.CD,1960,7575248495.0301
Zambia,ZMB,GDP (current US$),NY.GDP.MKTP.CD,1960,713000000.0
Zimbabwe,ZWE,GDP (current US$),NY.GDP.MKTP.CD,1960,1052990400.0
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,1961,73534070005.5532
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1961,548888895.555556
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,1961,73534070005.5532
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,1961,73534070005.5532
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,1961,73534070005.5532
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,1961,73534070005.5532
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,1961,73534070005.5532
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,1961,73534070005.5532
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,1961,73534070005.5532
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,1961,73534070005.5532
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1961,73534070005.5532
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1961,19648336879.8298
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,1961,7311749633.36229
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,1961,73534070005.5532
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,1961,202999992.0
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,1961,12400145221.595
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,1961,235668222.429984
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,1961,350247237.11684
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,1961,4817580183.60155
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,1961,73534070005.5532
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,1961,73534070005.5532
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,1961,190098039.215686
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,1961,73534070005.5532
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,1961,73534070005.5532
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,1961,29964370.7125857
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,1961,89249986.7007156
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,1961,612518906.826491
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,1961,73534070005.5532
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1961,73534070005.5532
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,1961,73534070005.5532
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,1961,73534070005.5532
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,1961,32902336.644746
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,1961,123134584.467673
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,1961,40767969453.696
Central Europe and the Baltics,CEB,GDP (current US$),NY.GDP.MKTP.CD,1961,73534070005.5532
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1961,10712712465.0522
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,1961,73534070005.5532
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,1961,4609727272.72727
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,1961,50056868957.6732
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,1961,618245639.221382
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,1961,657597382.759152
"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,1961,73534070005.5532
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,1961,151675739.160603
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,1961,4552914000.0
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,1961,73534070005.5532
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,1961,73534070005.5532
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,1961,490325181.614275
